frame,timestamp_ms,left_present,right_present,left_score,right_score,left_lm0_x,left_lm0_y,left_lm0_z,left_lm1_x,left_lm1_y,left_lm1_z,left_lm2_x,left_lm2_y,left_lm2_z,left_lm3_x,left_lm3_y,left_lm3_z,left_lm4_x,left_lm4_y,left_lm4_z,left_lm5_x,left_lm5_y,left_lm5_z,left_lm6_x,left_lm6_y,left_lm6_z,left_lm7_x,left_lm7_y,left_lm7_z,left_lm8_x,left_lm8_y,left_lm8_z,left_lm9_x,left_lm9_y,left_lm9_z,left_lm10_x,left_lm10_y,left_lm10_z,left_lm11_x,left_lm11_y,left_lm11_z,left_lm12_x,left_lm12_y,left_lm12_z,left_lm13_x,left_lm13_y,left_lm13_z,left_lm14_x,left_lm14_y,left_lm14_z,left_lm15_x,left_lm15_y,left_lm15_z,left_lm16_x,left_lm16_y,left_lm16_z,left_lm17_x,left_lm17_y,left_lm17_z,left_lm18_x,left_lm18_y,left_lm18_z,left_lm19_x,left_lm19_y,left_lm19_z,left_lm20_x,left_lm20_y,left_lm20_z,right_lm0_x,right_lm0_y,right_lm0_z,right_lm1_x,right_lm1_y,right_lm1_z,right_lm2_x,right_lm2_y,right_lm2_z,right_lm3_x,right_lm3_y,right_lm3_z,right_lm4_x,right_lm4_y,right_lm4_z,right_lm5_x,right_lm5_y,right_lm5_z,right_lm6_x,right_lm6_y,right_lm6_z,right_lm7_x,right_lm7_y,right_lm7_z,right_lm8_x,right_lm8_y,right_lm8_z,right_lm9_x,right_lm9_y,right_lm9_z,right_lm10_x,right_lm10_y,right_lm10_z,right_lm11_x,right_lm11_y,right_lm11_z,right_lm12_x,right_lm12_y,right_lm12_z,right_lm13_x,right_lm13_y,right_lm13_z,right_lm14_x,right_lm14_y,right_lm14_z,right_lm15_x,right_lm15_y,right_lm15_z,right_lm16_x,right_lm16_y,right_lm16_z,right_lm17_x,right_lm17_y,right_lm17_z,right_lm18_x,right_lm18_y,right_lm18_z,right_lm19_x,right_lm19_y,right_lm19_z,right_lm20_x,right_lm20_y,right_lm20_z
10,200,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,220,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,240,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,260,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,280,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,300,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,320,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,340,1,1,0.9979598522186279,0.96750807762146,0.6475714445114136,0.9584583640098572,-5.3871040961439576e-08,0.6118025183677673,0.9540883302688599,0.0028841239400207996,0.5742446780204773,0.9616925120353699,0.00018548958178143948,0.5486422181129456,0.9784205555915833,-0.0039235325530171394,0.5352120399475098,1.0004218816757202,-0.009706507436931133,0.5650441646575928,0.9531439542770386,-0.004777868278324604,0.5360703468322754,0.9844983220100403,-0.012855827808380127,0.5200248956680298,1.0064352750778198,-0.02040904387831688,0.5063760280609131,1.0210826396942139,-0.0263166856020689,0.576666533946991,0.9689980149269104,-0.011672010645270348,0.5460914969444275,0.9998518228530884,-0.018705831840634346,0.5273524522781372,1.0229451656341553,-0.025082867592573166,0.5117891430854797,1.0406638383865356,-0.03106369636952877,0.5898004174232483,0.9875320196151733,-0.01816544309258461,0.5588064789772034,1.015982985496521,-0.024678027257323265,0.5443370342254639,1.0377830266952515,-0.027254248037934303,0.5326117277145386,1.0516939163208008,-0.029826901853084564,0.6033733487129211,1.0063233375549316,-0.024253392592072487,0.5799429416656494,1.0308016538619995,-0.03070157952606678,0.5678504705429077,1.0466489791870117,-0.0318734347820282,0.5579039454460144,1.05856454372406,-0.032645609229803085,0.3221372961997986,0.9395734667778015,3.1979293879658144e-08,0.35513266921043396,0.926805853843689,-0.006064276676625013,0.3885001242160797,0.9382967948913574,-0.010339043103158474,0.4090023934841156,0.9589295983314514,-0.0133906789124012,0.41858339309692383,0.9783697724342346,-0.015709631145000458,0.38668572902679443,0.9564929604530334,-0.016173798590898514,0.4192531704902649,0.980628490447998,-0.024065326899290085,0.4403724670410156,0.993440568447113,-0.02821289747953415,0.45637261867523193,1.0016707181930542,-0.03038434125483036,0.3758200705051422,0.9757744073867798,-0.01643664576113224,0.4067566692829132,1.0039470195770264,-0.022387394681572914,0.4241131842136383,1.0189367532730103,-0.024075768887996674,0.43554121255874634,1.0305160284042358,-0.02515791915357113,0.3631410002708435,0.9934709668159485,-0.016476402059197426,0.39139944314956665,1.0202438831329346,-0.021219242364168167,0.4066428244113922,1.034011960029602,-0.019347073510289192,0.41587328910827637,1.044441819190979,-0.017754873260855675,0.350934773683548,1.007835030555725,-0.01699557714164257,0.370974600315094,1.0308972597122192,-0.019298363476991653,0.38273516297340393,1.0417284965515137,-0.016340140253305435,0.3901762366294861,1.0497246980667114,-0.0137019706889987
18,360,1,1,0.996147096157074,0.9905664324760437,0.6424338221549988,0.9368413090705872,3.847628704534145e-08,0.6068935990333557,0.9135943055152893,-0.0007960990187712014,0.5709864497184753,0.9172723889350891,-0.0036910944618284702,0.547092080116272,0.9369290471076965,-0.006182623095810413,0.5337529182434082,0.9562210440635681,-0.00911054015159607,0.5769664645195007,0.923400342464447,-0.01547932531684637,0.5377537608146667,0.9459359049797058,-0.020533226430416107,0.5147364139556885,0.9554938673973083,-0.021889161318540573,0.4971150755882263,0.9644036889076233,-0.022810891270637512,0.585624098777771,0.9522271156311035,-0.018066560849547386,0.5440480709075928,0.9677892327308655,-0.025012724101543427,0.5488864183425903,0.9548340439796448,-0.023944709450006485,0.5632610321044922,0.9456102848052979,-0.022028591483831406,0.5939999222755432,0.9754680395126343,-0.01926111988723278,0.5560908317565918,0.9848994016647339,-0.021786166355013847,0.5614583492279053,0.9734390377998352,-0.015083083882927895,0.5745906829833984,0.9669758677482605,-0.010550578124821186,0.6009665131568909,0.9942497611045837,-0.020620126277208328,0.572050154209137,0.9986937046051025,-0.02034752629697323,0.5760123133659363,0.9881110787391663,-0.014385360293090343,0.5869740843772888,0.9848085641860962,-0.010389059782028198,0.317158967256546,0.908805251121521,-2.9749037011583823e-08,0.3536224365234375,0.8924591541290283,-0.003982530906796455,0.38776513934135437,0.905855655670166,-0.007611191365867853,0.40914374589920044,0.934768795967102,-0.01017142366617918,0.41812965273857117,0.9588288068771362,-0.012396372854709625,0.38264840841293335,0.9150294065475464,-0.015795625746250153,0.41899049282073975,0.9349522590637207,-0.022195326164364815,0.44146010279655457,0.9443368911743164,-0.024327924475073814,0.45873939990997314,0.9540090560913086,-0.025954589247703552,0.36941826343536377,0.941219687461853,-0.017953259870409966,0.407521516084671,0.9656501412391663,-0.028299052268266678,0.40304261445999146,0.948665201663971,-0.026970423758029938,0.3899437487125397,0.9357439875602722,-0.022946739569306374,0.35583826899528503,0.961353063583374,-0.01946883648633957,0.39104163646698,0.9790433049201965,-0.026597578078508377,0.38673195242881775,0.9629996418952942,-0.01968511939048767,0.37368425726890564,0.9532856941223145,-0.012546170502901077,0.3437859117984772,0.9758550524711609,-0.021312955766916275,0.37261366844177246,0.9884493947029114,-0.02378380298614502,0.3705099821090698,0.9759318828582764,-0.017541391775012016,0.35899901390075684,0.9684051871299744,-0.011863689869642258
19,380,1,1,0.9954937696456909,0.9949443936347961,0.6397390961647034,0.9049974679946899,3.6390057633894912e-09,0.6101188063621521,0.8790031671524048,-0.0034430043306201696,0.571840763092041,0.883452296257019,-0.006814577616751194,0.5436195135116577,0.9014137983322144,-0.008966553956270218,0.5293043851852417,0.923295259475708,-0.011932391673326492,0.5748878121376038,0.8843169212341309,-0.019051609560847282,0.5369722247123718,0.9044312238693237,-0.025042947381734848,0.5142613053321838,0.9137074947357178,-0.02664859965443611,0.49670666456222534,0.9212978482246399,-0.02768361195921898,0.5833901166915894,0.9118138551712036,-0.020567255094647408,0.5447357296943665,0.9285584092140198,-0.028795897960662842,0.5523279309272766,0.9195008277893066,-0.028017470613121986,0.5671657919883728,0.9113338589668274,-0.02617006190121174,0.5917617082595825,0.9362624883651733,-0.020844893530011177,0.558030366897583,0.9493681788444519,-0.025069642812013626,0.5650724172592163,0.9402040839195251,-0.018522415310144424,0.5775972008705139,0.9330530166625977,-0.013943004421889782,0.5991536378860474,0.9574164748191833,-0.02130221761763096,0.5702645182609558,0.9662493467330933,-0.022611113265156746,0.5768222808837891,0.9565827250480652,-0.016675300896167755,0.5883494019508362,0.9513083696365356,-0.012621445581316948,0.3124847412109375,0.8711116909980774,-1.4038404216876188e-08,0.34771761298179626,0.8566991686820984,-0.0027488016057759523,0.38175898790359497,0.8705816864967346,-0.006363569758832455,0.4038730263710022,0.8961576819419861,-0.00922314077615738,0.41347450017929077,0.9175502061843872,-0.011717911809682846,0.38163986802101135,0.8719964027404785,-0.015483945608139038,0.41847407817840576,0.8889615535736084,-0.022237034514546394,0.440659761428833,0.8981014490127563,-0.024607475847005844,0.4574686288833618,0.9072309732437134,-0.0261817779392004,0.36985278129577637,0.8967153429985046,-0.01839194819331169,0.4047505259513855,0.923573911190033,-0.0282672718167305,0.3998603820800781,0.9102184772491455,-0.02649395912885666,0.3880889117717743,0.8989752531051636,-0.022476594895124435,0.35735294222831726,0.9172189831733704,-0.0206733588129282,0.3891790211200714,0.9372996687889099,-0.02643601782619953,0.3844650387763977,0.9242457151412964,-0.019133077934384346,0.3731352686882019,0.9158402681350708,-0.012324164621531963,0.3456234037876129,0.932856559753418,-0.023318693041801453,0.3724263310432434,0.9485982656478882,-0.023814352229237556,0.36890721321105957,0.937947690486908,-0.016759706661105156,0.3583294749259949,0.9308671355247498,-0.011053658090531826
